Title,Writer,Cast
The Seven Five,"Mike Dowd, Ken Eurell, Walter Yurkiw","Mike Dowd, Ken Eurell, Walter Yurkiw, Chickie, Dori Eurell, Tom Brokaw, Connie Chung, Al Coletto, Katie Couric, Adam Diaz, David Fein, Joe Hall, Larry King, Jose Montalvo, Baron Perez, Dan Rather, Tom Reilly, Joe Trimboli"
Kárhozat,"László Krasznahorkai, Béla Tarr","Miklós Székely B., Vali Kerekes, Gyula Pauer, György Cserhalmi, Hédi Temessy, Gábor Balogh, János Balogh, Péter Breznyik Berg, Imre Chmelik, Zoltán Csorba, József Dénes, Zoltán Farkas, Gáspár Ferdinándy, Jenõ Gaál, János 'Dixi' Gémes, Károly Hunyadi, Ágnes Kamondy, Sándor Kaszab"
Religulous,Bill Maher,"Bill Maher, Tal Bachman, Jonathan Boulden, Steven Burg, Francis Collins, George Coyne, Benjamin Creme, Jeremiah Cummings, Jose Luis De Jesus Miranda, Fatima Elatik, Yahuda Etzion, Reginald Foster, Mohamed Junas Gaffar, Bill Gardiner, Ted Haggard, Rabbi Halperin, Ken Ham, Dean Hamer"
L'argent de poche,"François Truffaut, Suzanne Schiffman","Georges Desmouceaux, Philippe Goldmann, Nicole Félix, Chantal Mercier, Jean-François Stévenin, Virginie Thévenet, Tania Torrens, René Barnerias, Katy Carayon, Jean-Marie Carayon, Annie Chevaldonne, Francis Devlaeminck, Michel Dissart, Michele Heyraud, Paul Heyraud, Jeanne Lobre, Vincent Touly, Claudio De Luca"
Nanook of the North,"Frances H. Flaherty, Robert J. Flaherty","Allakariallak, Alice Nevalinga, Cunayou, Allegoo, Camock, Berry Kroeger"
Bilal: A New Breed of Hero,"Ayman Jamal, Alexander Kronemer, Michael Wolfe","Adewale Akinnuoye-Agbaje, Ian McShane, China Anne McClain, Thomas Ian Nicholas, Michael Gross, Cynthia Kaye McWilliams, Jacob Latimore, Fred Tatasciore, Jon Curry, Mick Wingert, Dave B. Mitchell, Al Rodrigo, Andre Robinson, Sage Ryan, Quinton Flynn, Mark Rolston, John Eric Bentley, Keythe Farley"
Agir Roman,"Mustafa Altioklar, Metin Kaçan","Okan Bayülgen, Müjde Ar, Savas Dinçel, Mustafa Ugurlu, Fatih Akyol, Zafer Algöz, Mehtap Ar, Ege Aydan, Nilüfer Aydan, Balik Ayhan, Levent Erim, Zühtü Erkan, Sevda Ferdag, Aysel Gürel, Kucuk Iskender, Emrah Kolukisa, Burak Sergen, Osman Çaglar"
Les 12 travaux d'Astérix,"René Goscinny, Albert Uderzo, Pierre Tchernia","Roger Carel, Jacques Morel, Pierre Tornade, Henri Labussière, Jean Martinelli, Pascal Mazzotti, Lawrence Riesner, Claude Dasset, Roger Lumont, Gérard Hernandez, Henri Virlojeux, Nicole Vervil, Jacques Hilling, Henri Poirier, Mary Mongourdin, Gisèle Grimm, Bernard Lavalette, Caroline Cler"
Way Out West,"Jack Jevne, Charley Rogers, Felix Adler","Stan Laurel, Oliver Hardy, Sharon Lynn, James Finlayson, Rosina Lawrence, Stanley Fields, Vivien Oakland, Don Brookins, Art Green, Walter Trask, Chill Wills, Dinah, Victor Adamson, Silver Tip Baker, Hank Bell, Harry Bernard, Eddie Borden, Ed Brandenburg"
Eddie Murphy: Raw,"Eddie Murphy, Keenen Ivory Wayans","Eddie Murphy, Tatyana Ali, Billie Allen, Clebert Ford, Geri Gibson, Birdie M. Hale, Tiger Haynes, Leonard Jackson, Samuel L. Jackson, Jody Jones, Davenia McFadden, Gwen McGee, Lex Monson, Warren Morris, Deon Richmond, Basil Wallace, Damien Dante Wayans, Ellis Williams"
Kelebegin Rüyasi,Yilmaz Erdogan,"Kivanç Tatlitug, Mert Firat, Belçim Bilgin, Farah Zeynep Abdullah, Yilmaz Erdogan, Ahmet Mümtaz Taylan, Taner Birsel, Selman Ünlüsoy, Ipek Bilgin, Aksel Bonfil, Devrim Yakut, Salih Kalyon, Miray Akay, Abdullah Arslan, Adem Atbas, Mücahit Avci, Alper Baydar, Arslan Burak Bozdag"
Body and Soul,Abraham Polonsky,"John Garfield, Lilli Palmer, Hazel Brooks, Anne Revere, William Conrad, Joseph Pevney, Lloyd Gough, Canada Lee, Larry Anzalone, Al Bain, Steve Benton, Eddie Borden, Paul Bradley, James Burke, George M. Carleton, James Carlisle, Steve Carruthers, Wheaton Chambers"
Baazigar,"Robin Bhatt, Akash Khurana, Javed Siddiqui","Shah Rukh Khan, Kajol, Dalip Tahil, Rakhee Gulzar, Shilpa Shetty Kundra, Siddharth, Johny Lever, Ananth Mahadevan, Daboo Malik, Dinesh Hingoo, Adi Irani, Resham Tipnis, Amrit Patel, Sumeet Pathak, Manmauji, Harpal Singh Pali, Sharad Sankla, Raju Srivastava"
Raanjhanaa,"John Mahendran, Himanshu Sharma","Dhanush, Sonam Kapoor, Mohd. Zeeshan Ayyub, Swara Bhasker, Abhay Deol, Deepika Amin, Shilpi Marwaha, Kumud Mishra, Suraj Singh Sinsinwar, Nisha Jindal, Vipin Sharma, Naman Jain, Arvind Gaur, Sujata Kumar, Ishwak Singh, Tejpal Singh, Ginny Singh, Saniya Anklesaria"
Die Sehnsucht der Veronika Voss,"Rainer Werner Fassbinder, Pea Fröhlich, Peter Märthesheimer","Rosel Zech, Hilmar Thate, Cornelia Froboess, Annemarie Düringer, Doris Schade, Erik Schumann, Peter Berling, Günther Kaufmann, Sonja Neudorfer, Lilo Pempeit, Volker Spengler, Herbert Steinmetz, Elisabeth Volkmann, Hans Wyprächtiger, Peter Zadek, Johanna Hofer, Rudolf Platte, Armin Mueller-Stahl"
To vlemma tou Odyssea,"Theodoros Angelopoulos, Tonino Guerra, Petros Markaris","Harvey Keitel, Maia Morgenstern, Erland Josephson, Thanasis Vengos, Giorgos Mihalakopoulos, Dora Volanaki, Mania Papadimitriou, Giorgos Konstas, Thanos Grammenos, Alekos Oudinotis, Angel Ivanov, Ljuba Tadic, Vaggelis Liodakis, Gert Llanaj, Agni Vlahou, Giannis Zavradinos, Vangelis Kazan, Mirka Kalatzopoulou"
The Great Buddha+,Hsin-yao Huang,"Cres Chuang, Bamboo Chu-Sheng Chen, Leon Dai, Shao-Huai Chang, Yi-Wen Chen, Lin Na-Dou, Kuo-Lin Ting, Yung-Feng Lee, Yueh-hsin Chu, J.C. Lei, Mei-Hsiu Lin, Pei-Fang Wang, An-Shun Yu, Vincent Liang, Hsien Tuo, Evelyn Yu-Tong Cheng, Mei Lin, En Ko"
Miracolo a Milano,"Cesare Zavattini, Vittorio De Sica, Suso Cecchi D'Amico","Emma Gramatica, Francesco Golisano, Paolo Stoppa, Guglielmo Barnabò, Brunella Bovo, Anna Carena, Alba Arnova, Flora Cambi, Virgilio Riento, Arturo Bragaglia, Erminio Spalla, Riccardo Bertazzolo, Checco Rissone, Angelo Prioli, Giuseppe Berardi, Gianni Branduani, Enzo Furlai, Jerome Johnson"
Behind the Sun,"Karim Aïnouz, Ismail Kadare, Sergio Machado","José Dumont, Rodrigo Santoro, Rita Assemany, Luiz Carlos Vasconcelos, Flavia Marco Antonio, Ravi Ramos Lacerda, Caio Junqueira, Everaldo Pontes, Mariana Loureiro, Servílio de Holanda, Wagner Moura, Gero Camilo, Othon Bastos, Vinícius de Oliveira, Soia Lira, Maria do Socorro Nobre"
Paisan,"Sergio Amidei, Federico Fellini, Klaus Mann","Carmela Sazio, Gar Moore, William Tubbs, Robert Van Loon, Benjamin Emanuel, Raymond Campbell, Harold Wagner, Albert Heinze, Merlin Berth, Mats Carlson, Leonard Parrish, Dots Johnson, Alfonsino Pasca, Maria Michi, Harriet Medin, Renzo Avanzo, Dale Edmonds, John Whaling Allen"
Athlete A,"Maggie Nichols, Gina Nichols, John Nichols","Maggie Nichols, Gina Nichols, John Nichols, Steve Berta, Marisa Kwiatkowski, Mark Alesia, Rachael Denhollander, Jessica Howard, Jamie Dantzscher, John Manly, Tim Evans, Jennifer Sey, Géza Poszar, Tracee Talavera, Mike Jacki, Andrea Munford, Angela Povilaitis, Steve Penny"
I pugni in tasca,Marco Bellocchio,"Lou Castel, Paola Pitagora, Marino Masé, Liliana Gerace, Pier Luigi Troglio, Jeannie McNeil, Irene Agnelli, Sandra Bergamini, Celestina Bellocchio, Lella Bertante, Stefania Troglio, Gianni Schicchi, Mauro Martini, Tino Molinari, Gianfranco Cella, Alfredo Filippazzi"
Seance on a Wet Afternoon,"Mark McShane, Bryan Forbes","Kim Stanley, Richard Attenborough, Margaret Lacey, Marie Burke, Maria Kazan, Lionel Gamlin, Marian Spencer, Godfrey James, Judith Donner, Ronald Hines, Hajni Biro, Mark Eden, Nanette Newman, Diana Lambert, Frank Singuineau, Gerald Sim, Stanley Morgan, Maggie Rennie"
Kauas pilvet karkaavat,Aki Kaurismäki,"Kati Outinen, Kari Väänänen, Elina Salo, Sakari Kuosmanen, Markku Peltola, Matti Onnismaa, Matti Pellonpää, Pietari, Shelley Fisher, Markus Allan, Pauli Granfelt, Kari Lindqvist, Pentti Mutikainen, Tommi Parkkonen, Taisto Wesslin, Tuire Liiti, Kaarina Väyrynen, Elli Lindstedt"
The Prisoner of Zenda,"Anthony Hope, John L. Balderston, Edward E. Rose","Ronald Colman, Madeleine Carroll, C. Aubrey Smith, Raymond Massey, Mary Astor, David Niven, Douglas Fairbanks Jr., Torben Meyer, Evelyn Beresford, Ricardo Lord Cezon, Spencer Charters, Sally Conlin, D'Arcy Corrigan, Bonnie Gaye Cowen, Alexander D'Arcy, Billy Diamond, Ralph Faulkner, Billy Finnegan"
Delhi Belly,"Mr. Moris, Akshat Verma","Imran Khan, Vir Das, Kunaal Roy Kapur, Shenaz Treasury, Poorna Jagannathan, Kim Bodnia, Paresh Ganatra, Vijay Raaz, Aamir Khan, Satindir Anand, Dipti Avlani, Manoj Bakshi, Krishna Bansal, Dhaval Barbhaya, Divya Bhatia, Zeena Bhatia, Nikita Bhatt, Renuka Bondre"
Highway,Imtiaz Ali,"Alia Bhatt, Randeep Hooda, Durgesh Kumar, Pradeep Nagar, Saharsh Kumar Shukla, Hemant Mathur, Shakeel Khan, Mohit Choudhary, Reuben Israel, Arjun Malhotra, Naina Trivedi, Mohd. Kaif, Samar Mudasir Bakshi, Pinu Verma, Misha Bhalla, Avtar Sahani, Sandeep Leyzell, Mohit Rastogi"
La vie de bohème,"Henri Murger, Aki Kaurismäki","Matti Pellonpää, Evelyne Didi, André Wilms, Kari Väänänen, Christine Murillo, Jean-Pierre Léaud, Laika, Carlos Salgado, Alexis Nitzer, Sylvie Van den Elsen, Gilles Charmant, Dominique Marcas, Samuel Fuller, Jean-Paul Wenzel, Louis Malle, André Penvern, Maximilien Regiani, Daniel Dublet"
La lengua de las mariposas,"Rafael Azcona, Manuel Rivas","Manuel Lozano, Fernando Fernán Gómez, Uxía Blanco, Gonzalo Uriarte, Alexis de los Santos, Jesús Castejón, Guillermo Toledo, Elena Bagutta, Tamar Novas, Tatán, Roberto Vidal Bolaño, Celso Parada, Celso Bugallo, Antonio Lagares, Milagros Jiménez, Lara López, Alberto Castro, Diego Vidal"
The Winter War,"Pekka Parikka, Antti Tuuri","Taneli Mäkelä, Vesa Vierikko, Timo Torikka, Heikki Paavilainen, Antti Raivio, Esko Kovero, Martti Suosalo, Markku Huhtamo, Matti Onnismaa, Konsta Mäkelä, Tomi Salmela, Samuli Edelmann, Vesa Mäkelä, Aarno Sulkanen, Kari Kihlström, Esko Salminen, Kari Sorvali, Ari-Kyösti Seppo"
Ossessione,"Luchino Visconti, Mario Alicata, Giuseppe De Santis","Clara Calamai, Massimo Girotti, Dhia Cristiani, Elio Marcuzzo, Vittorio Duse, Michele Riccardini, Juan de Landa, Michele Sakara"
La gloire de mon père,"Louis Nucéra, Marcel Pagnol, Yves Robert","Philippe Caubère, Nathalie Roussel, Didier Pain, Thérèse Liotard, Julien Ciamaca, Victorien Delamare, Joris Molinas, Benoît Martin, Paul Crauchet, Pierre Maguelon, Michel Modo, Jean Rougerie, Jean-Pierre Darras, Victor Garrivier, Raoul Curet, Annick Danis, Louis Lalanne, Maxime Lombard"
House of Pleasure,"Guy de Maupassant, Jacques Natanson, Max Ophüls","Jean Gabin, Danielle Darrieux, Simone Simon, Claude Dauphin, Gaby Morlay, Madeleine Renaud, Ginette Leclerc, Mila Parély, Pierre Brasseur, Jean Servais, Daniel Gélin, Amédée, Paul Azaïs, Antoine Balpêtré, René Blancard, Gaby Bruyère, Mathilde Casadesus, Henri Crémieux"
Im Juli,Fatih Akin,"Moritz Bleibtreu, Christiane Paul, Mehmet Kurtulus, Idil Üner, Jochen Nickel, Branka Katic, Birol Ünel, Sandra Borgmann, Ernest Hausmann, Gábor Salinger, Cem Akin, Fatih Akin, Nina Lauterbach, Linda Wagener, Hans Daglioglu, Niños con Bombas, Julia Bähre, Dr. Stein"
Chaharshanbe-soori,"Asghar Farhadi, Mani Haghighi","Hediyeh Tehrani, Taraneh Alidoosti, Hamid Farrokhnezhad, Pantea Bahram, Houman Seyyedi, Sahar Dolatshahi, Matin Heydarinia, Sarina Farhadi, Forough Ghajabagli, Foad Hosseini, Mehran Mahram, Mohamad Ramezani Pour, Lida Ranjbaran, Behshad Sharifian"
The Crazy Strange,"Tony Gatlif, Kits Hilaire, Maigne Jaques","Romain Duris, Rona Hartner, Izidor Serban, Ovidiu Balan, Angela Serban, Aurica Ursan, Vasile Serban, Ioan Serban, Gheorge Gherebenec, Dan Astileanu, Valentin Teodosiu, Petre Nicolae, Calman Kantor, Florin Moldovan, Adrian Simionescu, Luminita Paun, Jean Paun, Petre Costescu"
Shooting Dogs,"David Wolstencroft, Richard Alwyn, David Belton","John Hurt, Hugh Dancy, Dominique Horwitz, Louis Mahoney, Nicola Walker, Steve Toussaint, David Gyasi, Susan Nalwoga, Victor Power, Jack Pierce, Musa Kasonka Jr., Kizito Ssentamu Kayiira, Clare-Hope Ashitey, Tom Shepherd"
Newton,"Amit Masurkar, Mayank Tewari","Rajkummar Rao, Pankaj Tripathi, Anjali Patil, Raghubir Yadav, Mukesh Prajapati, Sanjay Mishra, Krishna Singh Bisht, Onkar Das Manikpuri, Danish Husain, Pistak Gond, Rajman Netam, Shubham Netam, Bachan Pachehra, Kirti Shreeyansh Jain, Maureen Elizabeth Pitz, Jawad Chat, Pranhita Sen, Kaushal Kumar Upadhay"
Neerja,"Saiwyn Quadras, Sanyuktha Chawla Shaikh","Sonam Kapoor, Shabana Azmi, Yogendra Tikku, Abrar Zahoor, Jim Sarbh, Ali Baldiwala, Vikrant Singta, Parthaa Akerkar, Madhu Anand Chandhock, Rahaao, Kirti Adarkar, Hayder Ali, Amarjit, Arjun Aneja, Yugesh Anil, Bobby Arora, Rohit Assija, Sabreen Baker"
Bheeshma Parvam,"R.J. Murugan, Amal Neerad, Ravi Sankar","Mammootty, Soubin Shahir, Sreenath Bhasi, Nadia Moidu, Farhaan Faasil, Shine Tom Chacko, Dileesh Pothan, Jinu Joseph, Nedumudi Venu, K.P.A.C. Lalitha, Anagha L.K., Shebin Benson, Lenaa, Srinda, Veena Nandakumar, Anasuya Bharadwaj, Abu Salim, Sudev Nair"
Shyam Singha Roy,Satyadev Janga,"Nani, Sai Pallavi, Krithi Shetty, Madonna Sebastian, Murli Sharma, Jisshu Sengupta, Rahul Ravindran, Abhinav Gomatam, Manish Wadhwa, Leela Samson, Anurag Kulkarni, Backagaindancer, Barun Chanda, Priyanka Dey, Hriju Dhibar, Ankith Koyya, Sadhwi Majumder, Bhawan Manish"
5 Fingers,"Michael Wilson, L.C. Moyzisch, Joseph L. Mankiewicz","James Mason, Danielle Darrieux, Michael Rennie, Walter Hampden, Oskar Karlweis, Herbert Berghof, John Wengraf, Ben Astar, Roger Plowden, Abdullah Abbas, Diane Adrian, Hanna Axmann-Rezzori, Salvador Baguez, David Bauer, Harry Baum, Maurice Brierre, Oliver Cross, Alexis Davidoff"
RBG,"Ruth Bader Ginsburg, Ann Kittner, Harryette Helsel","Ruth Bader Ginsburg, Ann Kittner, Harryette Helsel, Nina Totenberg, Martin D. Ginsburg, Arthur R. Miller, Clara Spera, Brenda Feigen, James Steven Ginsburg, Jane C. Ginsburg, Lisa Beattie Frelinghuysen, Mary Hartnett, Wendy Williams, Gloria Steinem, Aryeh Neier, Sharron Frontiero, Kathleen Peratis, Stephen Wiesenfeld"
Le silence de la mer,"Vercors, Jean-Pierre Melville","Howard Vernon, Nicole Stéphane, Jean-Marie Robain, Ami Aaröe, Georges Patrix, Denis Sadier, Rudelle, Max Fromm, Claude Vernier, Max Hermann, Fritz Schmiedel"
Der müde Tod,"Fritz Lang, Thea von Harbou","Bernhard Goetzke, Lil Dagover, Walter Janssen, Hans Sternberg, Karl Rückert, Max Adalbert, Wilhelm Diegelmann, Erich Pabst, Karl Platen, Hermann Picha, Paul Rehkopf, Max Pfeiffer, Georg John, Lydia Potechina, Grete Berger, Eduard von Winterstein, Erika Unruh, Rudolf Klein-Rogge"
Strike,"Grigoriy Aleksandrov, Sergei Eisenstein, Ilya Kravchunovsky","Grigoriy Aleksandrov, Maksim Shtraukh, Mikhail Gomorov, I. Ivanov, Ivan Klyukvin, Aleksandr Antonov, Yudif Glizer, Anatoliy Kuznetsov, Vera Yanukova, Vladimir Uralskiy, Boris Yurtsev, Leonid Alekseev, Daniil Antonovich, Pyotr Malek, Misha Mamin, Pavel Poltoratskiy"
Sherpa,Jennifer Peedom,"Russell Brice, Tim Medvetz, Pasang Tenzing Sherpa, Phurba Tashi Sherpa, Edmund Hillary, John Hunt, Tenzing Norgay"
It Might Get Loud,"Jimmy Page, The Edge, Jack White","Jimmy Page, The Edge, Jack White, Dallas Schoo, Link Wray, Bono, Adam Clayton, Michael McKean, Larry Mullen Jr., Robert Plant, Meg White"
The Song Remains the Same,Peter Clifton,"Robert Plant, Jimmy Page, John Paul Jones, John Bonham, Peter Grant, Richard Cole, Derek Skilton, Colin Rigdon, Led Zeppelin, Jason Bonham, Mick Bonham, Patricia Bonham, Gloria Grant, Roy Harper, Jacinda Jones, Maureen Jones, Tamara Jones, Charlotte Martin"
Il y a longtemps que je t'aime,Philippe Claudel,"Kristin Scott Thomas, Elsa Zylberstein, Serge Hazanavicius, Laurent Grévill, Frédéric Pierrot, Lise Ségur, Jean-Claude Arnaud, Mouss Zouheyri, Souad Mouchrik, Nicole Dubois, Catherine Hosmalin, Laurent Claret, Marcel Ouendeno, Gérard Barbonnet, Jérémie Covillault, Claire Johnston, Kevin Lipka, Bruno Raffaelli"
Aferim!,"Radu Jude, Florin Lazarescu","Teodor Corban, Mihai Comanoiu, Toma Cuzin, Alexandru Dabija, Luminita Gheorghiu, Victor Rebengiuc, Alberto Dinache, Alexandru Bindea, Mihaela Sirbu, Adina Cristescu, Serban Pavlu, Gabriel Spahiu, Dan Nicolaescu, Liviu Ornea, Mihaela Drãgan, Claudiu Dumitru, Puiu Mircea Lascus, Swaylee Loughnane"
Mr. Skeffington,"Julius J. Epstein, Elizabeth von Arnim","Bette Davis, Claude Rains, Walter Abel, George Coulouris, Richard Waring, Marjorie Riordan, Robert Shayne, John Alexander, Jerome Cowan, Johnny Mitchell, Dorothy Peterson, Peter Whitney, Bill Kennedy, Ann Codee, Antonio Filauri, Fred Aldrich, Sylvia Arslan, Sam Ash"
Wolyn,Wojciech Smarzowski,"Michalina Labacz, Arkadiusz Jakubik, Wasyl Wasylik, Adrian Zaremba, Izabela Kuna, Jacek Braciak, Maria Sobocinska, Oleksandr Zbarazkyi, Volodymyr Protsiuk, Oleksandr Chesherov, Lech Dyblik, Roman Skorovskiy, Zacharjasz Muszynski, Michal Gadomski, Gabriela Muskala, Tomasz Sapryk, Andrzej Popiel, Marcin Sztabinski"
Zatôichi monogatari,"Minoru Inuzuka, Kan Shimozawa","Shintarô Katsu, Masayo Banri, Ryûzô Shimada, Hajime Mitamura, Shigeru Amachi, Michirô Minami, Eijirô Yanagi, Toshio Chiba, Manabu Morita, Yoshindo Yamaji, Yôichi Funaki, Eigorô Onoe, Ikuko Môri, Chitose Maki, Kin'ya Ichikawa, Jun Fujikawa, Yukio Horikita, Yûji Hamada"
The Passion of Anna,Ingmar Bergman,"Liv Ullmann, Bibi Andersson, Max von Sydow, Erland Josephson, Erik Hell, Sigge Fürst, m. fl., Ingmar Bergman, Britta Brunius, Lars-Owe Carlberg, Malin Ek, Barbro Hiort af Ornäs, Svea Holst, Marianne Karlbeck, Annicka Kronberg, Hjördis Petterson, Brian Wikström, Brita Öberg"
Lacombe Lucien,"Louis Malle, Patrick Modiano","Pierre Blaise, Aurore Clément, Holger Löwenadler, Therese Giehse, Stéphane Bouy, Loumi Iacobesco, René Bouloc, Pierre Decazes, Jean Rougerie, Cécile Ricard, Jacqueline Staup, Ave Ninchi, Pierre Saintons, Gilberte Rivet, Jacques Rispal, Jean Bousquet, Franz Rudnick, Gaëtan Bloom"
Brother 2,Aleksey Balabanov,"Sergey Bodrov, Viktor Sukhorukov, Sergey Makovetskiy, Irina Saltykova, Kirill Pirogov, Alexander Diachenko, Darya Yurgens, Gary Houston, Ray Toler, Lisa Jeffrey, Aleksandr Naumov, Aleksandr Karamnov, Konstantin Zheldin, Konstantin Murzenko, Dmitriy Orlov, Andrey Savostyanov, Bradley Mott, E. Milton Wheeler"
Spellbound,"Angela Arenivar, Ubaldo Arenivar, Jorge Arenivar","Angela Arenivar, Ubaldo Arenivar, Jorge Arenivar, Scott McGarraugh, Lindy McGarraugh, Concepción Arenivar, Mrs. Slaughter, Neelima Marupudi, Nupur Lala, Ms. Whitehurst, Parag Lala, Meena Lala, Kuna Lala, Ted Brigham, Ms. Blair, Dan Brigham, Tim Brigham, Earl Brigham"
Tanu Weds Manu Returns,Himanshu Sharma,"Kangana Ranaut, Madhavan, Gunnit Kaur, Jimmy Shergill, Deepak Dobriyal, Swara Bhasker, Eijaz Khan, Mohd. Zeeshan Ayyub, Rajendra Gupta, Navni Parihar, K.K. Raina, Dipti Misra, Rahul Chahan, Shishir Sharma, Gulzar Dastur, Rajesh Sharma, Raj Awasti, Kajol Bhadana"
Dogtown and Z-Boys,"Stacy Peralta, Craig Stecyk","Sean Penn, Jay Adams, Tony Alva, Jeff Ament, Bob Biniak, Steve Caballero, Paul Constantineau, 'Baby' Paul Cullen, Skip Engblom, Steve Freidman, Tony Friedkin, Glen E. Friedman, Alan Gelfand, Marty Grimes, David Hackett, Tony Hawk, Allan Jeff Ho, Jeff Ho"
Maghzhaye Koochake Zang Zadeh,Houman Seyyedi,"Navid Mohammadzadeh, Farhad Aslani, Farid Sajjadi Hosseini, Marjan Ettefaghian, Navid Pourfaraj, Nazanin Bayati, Ladan Zhaveh Vand, Mahyar Rahat-Talab, Hamoun Seyyedi, Ashkan Hassanpour, Hosein Abadi, Sobhan Afghari, Soheil Bayat, Armin Behjat, Keyvn Beygi, Mohammad Amin Erfani, Mostafa Hashemzehi, Mansoore Ilkhani"
Mahaan,"Srinivasan Elangovan, Karthik Subbaraj","Vikram, Simran, Dhruv Vikram, Bobby Simha, Vettai Muthukumar, Sananth, Alaudeen, Amoz, Anbu, Bharathan, Vani Bhojan, Ram Charles, Aakshath Das, Deva, Ezhil, Benito Franklin, Gajaraj, Gunalan"
Salesman,"Paul Brennan, Charles McDevitt, James Baker","Paul Brennan, Charles McDevitt, James Baker, Raymond Martos, Kennie Turner, Melbourne I. Feltman, Margaret McCarron"
Pyaar Ka Punchnama,"Luv Ranjan, Sumit Saxena, Vaibhav Suman","Kartik Aaryan, Raayo S. Bakhirta, Divyendu Sharma, Nushrratt Bharuccha, Sonnalli Seygall, Ishita Raj, Manoj Bakshi, Ranjit Batra, Padam Bhola, Karthik Chauhan, Ashish Chhipa, Sujeet Kumar Sharma"
Brides,Ioanna Karystiani,"Damian Lewis, Victoria Haralabidou, Andréa Ferréol, Evi Saoulidou, Dimitris Katalifos, Eirini Inglesi, Evelina Papoulia, Steven Berkoff, Apostolis Totsikas, Elizaveta Kuznetsova, Eleni Roussinou, Yorgos Makris, Olga Damani, Evangelia Adreadaki, Yannis Totsikas, Stavros Kalaroglou, Giannis Fakis, Kostas Sommer"
Ayan,"K.V. Anand, D. Suresh, A.N. Balakrishnan","Suriya, Tamannaah Bhatia, Prabhu, Jagan, Akashdeep Saigal, Karunas, Ponvannan, Renuka, Delhi Ganesh, Kalairani, Janaki Sabesh, Subela Sudhakar, Rajendranath, Rail Ravi, Koena Mitra, Lucas Ogunro"
Rahasya,Manish Gupta,"Kay Kay Menon, Ashish Vidyarthi, Tisca Chopra, Mita Vashisht, Vineet Kakkar, Ashwini Kalsekar, Jitendra Barsiwal, Farida Dadi, Ramesh Deo, Usha Jadhav, Bikramjeet Kanwarpal, Murari Kumar, Aarush Kumar, Nimai Bali, Sakshi Sem, Abhinav Sharma, Kunal Sharma, Shivkumar Subramaniam"
Mon oncle d'Amérique,"Jean Gruault, Henri Laborit","Gérard Depardieu, Nicole Garcia, Roger Pierre, Nelly Borgeaud, Pierre Arditi, Gérard Darrieu, Philippe Laudenbach, Marie Dubois, Henri Laborit, Bernard Malaterre, Laurence Roy, Alexandre Rignault, Véronique Silver, Jean Lescot, Geneviève Mnich, Maurice Gautier, Guillaume Boisseau, Ina Bedart"
Bheja Fry,"Sagar Ballary, Arpita Chatterjee, Sharat Katariya","Vinay Pathak, Rajat Kapoor, Sarika Thakur, Milind Soman, Ranvir Shorey, Bhairavi Goswami, Tom Alter, Harsh Chhaya, Sharat Katariya, Sushma Kaul, Iqlaq Khan"
